year,car_name,price_usd
1975,Moskvich 2136 Kombi,1399.0
1978,Lada 2106,1390.0
1978,Lada 2102,1500.0
1973,Lada 2101,1500.0
1978,Lada 2106,1500.0
1978,Lada 2106,1500.0
1977,Lada 2111,1500.0
1978,Lada 2103,1500.0
1977,Lada 2101,1500.0
1972,Lada 2101,1500.0
1977,Lada 2106,1500.0
1978,Lada 2111,1500.0
1976,Lada 2111,1500.0
1979,Прочее,1500.0
1978,Lada 2101,1500.0
1977,Lada 2106,1500.0
1978,Lada 2101,1500.0
1977,Lada 2102,1500.0
1974,Lada 2101,1500.0
1973,Lada 2101,1500.0
1974,Lada 2101,1500.0
1972,Lada 2102,1500.0
1973,Lada 2107,1500.0
1978,Lada 2101,1500.0
1977,Lada 2106,1500.0
1977,Lada 2102,1500.0
1977,Lada 2106,1500.0
1974,Lada 2106,1500.0
1979,Lada 2103,1500.0
1974,Lada 2103,1500.0
1978,Lada 2106,1500.0
1972,Lada 2101,1500.0
1977,Lada 2106,1500.0
1979,Lada 2106,1500.0
1978,Lada 2106,1650.0
1963,Прочее,1750.0
1973,Lada 2101,1750.0
1978,Lada 2101,1750.0
1973,Lada 2101,1750.0
1975,Lada 2106,1750.0
1975,Lada 2102,1600.0
1976,Moskvich 2140,1600.0
1977,Lada 2101,1600.0
1979,GAZ 24 Volga,1600.0
1979,Lada 2101,1600.0
1977,Lada 2106,1600.0
1974,Lada 2101,1600.0
1978,Другая,1600.0
1976,UAZ 469,1600.0
1976,Прочее,1600.0
1974,Lada 2102,1600.0
1979,Lada 2102,1600.0
1977,Lada 2110,1600.0
1973,Lada 2102,1600.0
1975,Lada 2102,1600.0
1979,Lada 2106,1600.0
1973,Lada 2102,1600.0
1979,Lada Niva,1600.0
1977,Lada 2106,1300.0
1976,GAZ 24 Volga,1550.0
1979,Lada 2106,1666.7
1977,Moskvich 412,1666.7
1977,Lada 2106,1666.7
1978,Lada 2111,1666.7
1976,Lada 2106,1666.7
1974,Lada 2101,1666.7
1973,Lada 2101,1666.7
1977,Lada 2102,1666.7
1977,Lada 2106,1666.7
1974,Lada 2101,1666.7
1977,Lada 2106,1666.7
1977,Lada 2106,1666.7
1959,21,1666.7
1975,Lada 2102,1666.7
1976,Moskvich 2140,1666.7
1972,Lada 2101,1666.7
1974,Lada 2103,1666.7
1977,Lada 2111,1666.7
1978,Lada 2106,1666.7
1978,Moskvich 412,1666.7
1976,GAZ 24 Volga,1666.7
1979,Lada 2102,1666.7
1976,Lada 2106,1666.7
1977,Lada 2101,1666.7
1977,Lada 2101,1666.7
1976,Другая,1666.7
1978,Lada 2106,1666.7
1974,Lada 2103,1666.7
1979,Lada 2106,1666.7
1976,Lada 2106,1666.7
1975,Lada 2106,1666.7
1975,Прочее,1666.7
1976,Lada 21011,1666.7
1979,Lada 2106,1666.7
1979,BMW 520,1666.7
1976,21,1666.7
1978,Lada 2101,1666.7
1973,Lada 2106,1666.7
1974,Lada 2101,1666.7
1976,Lada 2111,1666.7
1977,Lada 2101,1666.7
1976,Lada 2106,1666.7
1973,Lada 2101,1800.0
1977,21,2041.7
1978,Lada 2111,2000.0
1977,Lada 2101,2000.0
1979,Lada 2101,2000.0
1979,Lada 21011,2000.0
1979,Lada 2106,2000.0
1976,GAZ 2401,1800.0
1978,Lada 2106,1800.0
1976,Lada 2106,1800.0
1977,Lada 2101,1800.0
1976,Lada 21011,1800.0
1978,Lada 2106,1800.0
1975,Lada 2106,1800.0
1979,Lada 2111,1800.0
1979,Lada 2103,1800.0
1973,Lada 2102,1800.0
1976,GAZ 24 Volga,1800.0
1979,Lada 2106,1800.0
1978,Lada 2102,1800.0
1978,51,1800.0
1976,Lada 2106,1800.0
1976,Lada 2106,1800.0
1979,Lada 2102,1800.0
1977,Lada 2101,1800.0
1974,21102,1800.0
1979,Lada 2111,1800.0
1974,Lada 2102,1800.0
1975,GAZ 24 Volga,1800.0
1979,Lada 2106,1800.0
1974,Lada 2106,1800.0
1978,Moskvich 412,1800.0
1975,Lada 2101,1916.7
1976,GAZ 2401,1916.7
1973,Lada 2101,1916.7
1976,Lada 2106,1916.7
